gene	ENCFF302ZNF	ENCFF737ISG	ENCFF601EJO	ENCFF220TCD
ENSG00000242268_2	1060	490	0	0
ENSG00000167578_12	7670	7680	32170	22660
ENSG00000270112_2	5800	1830	0	0
ENSG00000078237_4	27490	13440	2900	6210
ENSG00000263642_1	0	0	0	0
ENSG00000225275_4	0	0	0	0
ENSG00000269416_1	0	330	0	0
ENSG00000268332_1	0	0	0	0
ENSG00000060642_6	6210	7590	11000	10090
ENSG00000231981_3	0	0	580	80
ENSG00000201788_1	0	0	0	0
ENSG00000056586_11	16530	19610	14250	13410
ENSG00000167700_4	6850	17670	36390	36290
ENSG00000172137_14	3280	1670	37620	42350
ENSG00000240423_1	0	0	0	0
ENSG00000271616_1	0	0	0	0
ENSG00000234881_1	0	0	0	0
ENSG00000236040_1	0	0	0	0
ENSG00000231105_1	0	0	0	0
ENSG00000182141_5	4080	2100	1200	1220
ENSG00000136895_14	88220	93170	330	820
ENSG00000270677_1	0	0	0	0
ENSG00000264981_1	0	0	0	0
ENSG00000197557_6	3340	2300	1710	1530
ENSG00000233540_1	1880	6010	0	0
ENSG00000252650_1	0	0	0	0
ENSG00000102174_7	50	130	130	70
ENSG00000271647_1	0	0	0	0
ENSG00000232001_1	0	0	0	0
ENSG00000166391_10	0	450	0	0
ENSG00000270469_1	0	600	0	0
ENSG00000234253_1	0	0	0	0
ENSG00000255420_1	0	0	0	0
ENSG00000227959_1	0	0	3090	2260
ENSG00000252943_1	0	0	0	0
ENSG00000269148_1	0	0	0	0
ENSG00000179262_5	27780	27920	131490	134600
ENSG00000251538_1	0	0	0	0
ENSG00000273406_1	800	0	0	0
ENSG00000236667_1	0	0	0	0
ENSG00000166368_2	0	0	0	230
ENSG00000078668_9	534850	443110	9390	12880
ENSG00000234900_1	0	0	0	0
ENSG00000182648_7	2100	12010	1080	510
ENSG00000251044_1	0	0	0	0
ENSG00000101199_8	1270	100	90120	88670
ENSG00000249830_1	0	0	0	0
ENSG00000225269_2	80	0	0	0
ENSG00000214062_5	0	0	0	0
ENSG00000270440_1	0	0	0	0
ENSG00000095587_8	840	10	0	0
ENSG00000064601_12	25180	26060	96990	94150
ENSG00000120211_4	0	0	120	10
ENSG00000253563_2	0	0	0	0
ENSG00000185652_7	0	0	0	0
ENSG00000264085_1	0	0	0	0
ENSG00000261475_2	0	0	0	0
ENSG00000008517_12	0	0	2970	5270
ENSG00000266644_1	750	180	380	80
ENSG00000236893_1	0	0	0	0
ENSG00000254465_1	0	0	0	0
ENSG00000088179_4	70230	68630	41780	29280
ENSG00000166634_2	0	0	0	0
ENSG00000273217_1	0	0	0	0
ENSG00000070081_11	69930	76450	6600	4270
ENSG00000261789_1	0	0	0	0
ENSG00000196167_5	510	0	7840	4470
ENSG00000251909_1	0	0	0	0
ENSG00000254092_1	51430	60030	0	0
ENSG00000161558_6	1830	2860	8820	9590
ENSG00000260900_1	240	0	0	0
ENSG00000142556_14	3350	850	4420	3690
ENSG00000250571_2	180	1420	9060	11000
ENSG00000264438_1	0	0	0	0
ENSG00000219747_1	140	140	60	160
ENSG00000207000_1	0	0	0	0
ENSG00000254131_1	0	0	0	0
ENSG00000118972_1	0	0	0	0
ENSG00000237630_1	0	0	0	0
ENSG00000179833_4	830	990	3950	3770
ENSG00000165312_5	2200	1920	1390	1820
ENSG00000221372_1	0	0	0	0
ENSG00000159618_11	0	0	1430	3090
ENSG00000158966_9	3140	1790	0	0
ENSG00000226530_1	0	0	0	0
ENSG00000224113_2	1550	2120	4180	3670
ENSG00000166007_11	0	0	0	0
ENSG00000201616_1	0	0	0	0
ENSG00000167768_4	0	0	0	0
ENSG00000171551_7	0	0	0	0
ENSG00000136231_9	0	0	18230	27500
ENSG00000264172_1	0	0	0	0
ENSG00000147257_9	2820	2070	820	100
ENSG00000199903_1	0	0	0	0
ENSG00000256053_3	28970	34560	6860	9590
ENSG00000200058_1	0	0	0	0
ENSG00000218358_2	0	0	180	300
ENSG00000266460_1	0	0	0	0
ENSG00000264091_1	0	0	0	0
