Experiment	BigWig	Tissue
ENCSR932KWJ	ENCFF531HVC	A172
ENCSR932KWJ	ENCFF970PNO	A172
ENCSR346JWH	ENCFF767IQX	A673
ENCSR346JWH	ENCFF107AHF	A673
ENCSR405TXU	ENCFF641AHZ	adipocyte
ENCSR405TXU	ENCFF332BSK	adipocyte
ENCSR866RCY	ENCFF476UGA	adrenal gland female fetal (85 days)
ENCSR728BAD	ENCFF457CYU	adrenal gland male fetal (108 days)
ENCSR696XSJ	ENCFF393DAS	adrenal gland female fetal (113 days)
ENCSR865ICK	ENCFF986PSB	adrenal gland female adult (51 year)
ENCSR080PZL	ENCFF849WEO	adrenal gland male fetal (101 day)
ENCSR060BFU	ENCFF622SYJ	adrenal gland fetal (96 days)
ENCSR191FOV	ENCFF340ESJ	adrenal gland male adult (37 years)
ENCSR419MZH	ENCFF691JVZ	adrenal gland female fetal (108 days)
ENCSR848XIY	ENCFF331MKY	adrenal gland male adult (54 years)
ENCSR856QJX	ENCFF055ZKP	adrenal gland male fetal (85 days)
ENCSR584LUZ	ENCFF521CFL	Ammon's horn male adult (84 years)
ENCSR000END	ENCFF104TSY	amniotic epithelial cell
ENCSR000END	ENCFF270BPI	amniotic epithelial cell
ENCSR820WLP	ENCFF794OOC	amniotic stem cell
ENCSR820WLP	ENCFF246WEU	amniotic stem cell
ENCSR207TUX	ENCFF155NWE	amniotic stem cell
ENCSR000EPM	ENCFF447SXZ	astrocyte
ENCSR000EPM	ENCFF130HYX	astrocyte
ENCSR000ENC	ENCFF316ZLJ	astrocyte of the cerebellum
ENCSR000ENC	ENCFF549MCN	astrocyte of the cerebellum
ENCSR891VOV	ENCFF135TPK	B cell female adult (34 years)
ENCSR247IUJ	ENCFF842WUR	B cell male adult (37 years)
ENCSR646BJT	ENCFF827WLK	B cell female adult (43 years)
ENCSR000EMD	ENCFF094QPV	BE2C
ENCSR000EMD	ENCFF151TJK	BE2C
ENCSR626RVD	ENCFF251JUI	bipolar spindle neuron derived from induced pluripotent stem cell
ENCSR626RVD	ENCFF547FPA	bipolar spindle neuron derived from induced pluripotent stem cell
ENCSR522WLH	ENCFF943XXN	body of pancreas male adult (37 years)
ENCSR228IKB	ENCFF759JPG	body of pancreas male adult (54 years)
ENCSR228IKB	ENCFF974WIX	body of pancreas male adult (54 years)
ENCSR187PYY	ENCFF179OMZ	brain female fetal (142 days)
ENCSR595CSH	ENCFF310SIH	brain fetal (56 days) and male fetal (58 days)
ENCSR595CSH	ENCFF593GTZ	brain fetal (56 days) and male fetal (58 days)
ENCSR309FOO	ENCFF776HJF	brain female fetal (117 days)
ENCSR475VQD	ENCFF318HIS	brain male fetal (72 days) and male fetal (76 days)
ENCSR475VQD	ENCFF783MTK	brain male fetal (72 days) and male fetal (76 days)
ENCSR118WIQ	ENCFF702MIF	brain fetal (112 days)
ENCSR820XRX	ENCFF974ANJ	brain female fetal (105 days)
ENCSR344FLH	ENCFF685TOS	brain female fetal (109 days)
ENCSR026EOM	ENCFF867KZH	brain female fetal (85 days)
ENCSR947POC	ENCFF157WSK	brain male fetal (104 days)
ENCSR572LDG	ENCFF632CHU	brain male fetal (101 day)
ENCSR156CLC	ENCFF560IOS	brain female fetal (96 days)
ENCSR000ENE	ENCFF715FYZ	brain microvascular endothelial cell
ENCSR000ENE	ENCFF763WGT	brain microvascular endothelial cell
ENCSR000ENF	ENCFF566QXJ	brain pericyte
ENCSR000EPN	ENCFF500DPH	bronchial epithelial cell female treated with retinoic acid
ENCSR000EPN	ENCFF207RPA	bronchial epithelial cell female treated with retinoic acid
ENCSR000EPX	ENCFF163WKS	bronchial epithelial cell
ENCSR000EPX	ENCFF717LUT	bronchial epithelial cell
ENCSR000EMI	ENCFF225FWX	Caco-2
ENCSR000EMI	ENCFF617UXQ	Caco-2
ENCSR515EWI	ENCFF711OVW	Caki2
ENCSR515EWI	ENCFF071FKI	Caki2
ENCSR000EMW	ENCFF025UVW	cardiac mesoderm
ENCSR000EMW	ENCFF693PPD	cardiac mesoderm
ENCSR000EMX	ENCFF028WTN	cardiac mesoderm
ENCSR000EMY	ENCFF384DBN	cardiac mesoderm
ENCSR000EMY	ENCFF438WBJ	cardiac mesoderm
