Experiment	BigWig	Tissue
ENCSR000ELX	ENCFF332QJL	fibroblast_of_upper_leg_skin_male_fetal_12_weeks
ENCSR000ELY	ENCFF942XQR	fibroblast_of_lung_male_fetal_12_weeks
ENCSR000ELZ	ENCFF161MVS	fibroblast_of_pedal_digit_skin_female_adult_21_year
ENCSR000EMA	ENCFF326EMX	fibroblast_of_gingiva_female_adult_24_years
ENCSR000EMC	ENCFF754GJO	fibroblast_of_the_aortic_adventitia_female
ENCSR000EMD	ENCFF689XET	BE2C
ENCSR000EME	ENCFF240UTR	foreskin_fibroblast_male_newborn
ENCSR000EMF	ENCFF976DTP	HS-27A
ENCSR000EMG	ENCFF288HAC	HS-5
ENCSR000EMH	ENCFF467VIU	stromal_cell_of_bone_marrow_male
ENCSR000EMI	ENCFF511PJV	Caco-2
ENCSR000EMK	ENCFF973OVW	hematopoietic_multipotent_progenitor_cell_male
ENCSR000EMM	ENCFF050QMH	naive_thymus-derived_CD4-positivealpha-beta_T_cell_female_adult_35_years
ENCSR000EMN	ENCFF913LFZ	CMK
ENCSR000EMO	ENCFF716JWM	skin_fibroblast_female_adult_31_year
ENCSR000EMP	ENCFF088BXV	skin_fibroblast_female_adult_31_year
ENCSR000EMQ	ENCFF331MNL	GM06990
ENCSR000EMR	ENCFF561KMR	GM12864
ENCSR000EMT	ENCFF131XEA	GM12878
ENCSR000EMU	ENCFF316ZUB	H1-hESC
ENCSR000EMV	ENCFF318OSA	cardiac_mesoderm
ENCSR000EMW	ENCFF448XVN	cardiac_mesoderm
ENCSR000EMX	ENCFF368CUH	cardiac_mesoderm
ENCSR000EMY	ENCFF926PPC	cardiac_mesoderm
ENCSR000EMZ	ENCFF405ZPU	H7-hESC
ENCSR000ENC	ENCFF400YWH	astrocyte_of_the_cerebellum
ENCSR000END	ENCFF951NCM	amniotic_epithelial_cell
ENCSR000ENE	ENCFF433ZPU	brain_microvascular_endothelial_cell
ENCSR000ENF	ENCFF024DAF	brain_pericyte
ENCSR000ENG	ENCFF317HOT	smooth_muscle_cell_of_the_brain_vasculature_female
ENCSR000ENK	ENCFF192PIA	fibroblast_of_the_conjunctiva
