Experiment	BigWig	Tissue
ENCSR059MVB	ENCFF284WAX	ACC112
ENCSR177QFY	ENCFF104OUW	adrenal_gland_male_adult_54_years
ENCSR010PKP	ENCFF502RXB	adrenal_gland_tissue_male_fetal_97_days
ENCSR480GEI	ENCFF365HWT	amnion_tissue_male_fetal_16_weeks
ENCSR107PPJ	ENCFF295ADS	angular_gyrus_tissue_female_adult_75_years
ENCSR877RKO	ENCFF991OEV	aorta_tissue_male_adult_34_years
ENCSR000AOQ	ENCFF000CHA	astrocyte_primary_cell
ENCSR241CUA	ENCFF386JLI	B_primary_cell_male_adult_37_years
ENCSR905TYC	ENCFF036PHA	bipolar_spindle_neuron_derived_from_induced_pluripotent_stem_cell
ENCSR520BIM	ENCFF011ZFZ	body_of_pancreas_male_adult_37_years
ENCSR000NPF	ENCFF739LGT	cardiac_muscle_cell
ENCSR200EJX	ENCFF696VGQ	caudate_nucleus_tissue_male_adult_81_year
ENCSR699SYK	ENCFF025QOB	CD14-positive_monocyte_primary_cell_male_adult_37_years
ENCSR479XLD	ENCFF341YXS	CD4-positive_CD4+_CD25+_CD127-
ENCSR199UQX	ENCFF632SZK	CD4-positive_CD4+_CD25+_CD45RO+
ENCSR431JKJ	ENCFF682KOR	CD4-positive_CD4+_CD25int_CD127+
ENCSR948ZKZ	ENCFF036KJF	CD4-positive_helper_T_primary_cell_CD4+_CD25-
ENCSR597AEB	ENCFF623HAF	CD4-positive_helper_T_primary_cell_CD4+_CD25-_CD45RA+
ENCSR832UFG	ENCFF787GYP	CD4-positive_helper_T_primary_cell_CD4+_CD25-_IL17-
ENCSR044PVY	ENCFF018VHB	CD4-positive_helper_T_primary_cell_CD4+_CD25-_IL17+
ENCSR227NHZ	ENCFF169OYT	CD4-positive_helper_T_primary_cell_male_adult_29_years
ENCSR658KLY	ENCFF576GQU	CD4-positive_memory
ENCSR696KEU	ENCFF162NMY	CD8-positive_memory
ENCSR465PPP	ENCFF051TOF	CD8-positive_naive
ENCSR222DSV	ENCFF899BGU	chondrocyte_in_vitro_differentiated_cells
ENCSR023TCY	ENCFF763SUO	cingulate_gyrus_tissue_female_adult_75_years
ENCSR055HAB	ENCFF484FVN	colonic_mucosa_tissue_female_adult_73_years
ENCSR970ENS	ENCFF508QOR	common_myeloid_progenitor_female
ENCSR000AQW	ENCFF000AQA	DND-41_immortalized_cell_line
ENCSR741STU	ENCFF799XTO	DOHH2
ENCSR680KPO	ENCFF499KRR	ectodermal_in_vitro_differentiated_cells
ENCSR034KRZ	ENCFF819FQQ	endocrine_pancreas_tissue_male_adult_45_years
ENCSR377PMZ	ENCFF197QRX	endodermal_in_vitro_differentiated_cells
ENCSR000ALB	ENCFF000BRY	endothelial_of_umbilical_vein_primary_cell_newborn
