		
ENCSR719FEJ	ENCFF280TQO	KOPT-K1
ENCSR826UTD	ENCFF792XEZ	PC-3
ENCSR507UDH	ENCFF323LSJ	hepatocyte derived from H9
ENCSR661KMA	ENCFF225QAB	HCT116
ENCSR564IGJ	ENCFF712CGL	SK-N-SH
ENCSR857GMX	ENCFF109YKY	OCI-LY3
ENCSR210ZPC	ENCFF162KWR	smooth muscle cell derived from H9
ENCSR948YYZ	ENCFF195KTA	gastrocnemius medialis male adult (54 years)
ENCSR449AXO	ENCFF533OFX	neural progenitor cell derived from H9
ENCSR124VOE	ENCFF718CNN	neural cell
ENCSR597BWL	ENCFF125PJA	thyroid gland male adult (37 years)
ENCSR059MVB	ENCFF284WAX	ACC112
ENCSR758OEC	ENCFF305ARC	MM.1S
ENCSR267YXV	ENCFF066BUP	neutrophil
ENCSR718BTD	ENCFF941EJE	vagina female adult (53 years)
ENCSR015GFK	ENCFF772QFT	thoracic aorta male adult (37 years)
ENCSR955IXZ	ENCFF637MNF	KMS-11
ENCSR835MMN	ENCFF921GJR	SK-N-MC
ENCSR741STU	ENCFF799XTO	DOHH2
ENCSR447ZGY	ENCFF854ACC	OCI-LY7
ENCSR203KCB	ENCFF062GEM	thyroid gland male adult (54 years)
ENCSR842NGQ	ENCFF821BBY	neuroepithelial stem cell stably expressing fusion protein
ENCSR981UJA	ENCFF599LSB	right lobe of liver female adult (53 years)
ENCSR520BIM	ENCFF011ZFZ	body of pancreas male adult (37 years)
ENCSR660IQS	ENCFF896ZBB	Karpas-422
ENCSR905TYC	ENCFF036PHA	bipolar spindle neuron derived from induced pluripotent stem cell
ENCSR729ENO	ENCFF743DDY	induced pluripotent stem cell male adult (53 years) derived from fibroblast of arm
ENCSR000NPF	ENCFF739LGT	cardiac muscle cell
ENCSR177QFY	ENCFF104OUW	adrenal gland male adult (54 years)
ENCSR007YOT	ENCFF217TIX	fibroblast of arm male adult (53 years)
ENCSR801IPH	ENCFF955XDO	gastrocnemius medialis male adult (37 years)
