Experiment	BigWig	Tissue
ENCSR706RZK	ENCFF395EGL	A549_immortalized_cell_line_treated_with_0-02%_ethanol_for_1_hour
ENCSR778VGY	ENCFF770MFR	ACC112
ENCSR038RGI	ENCFF034IBQ	adipose_tissue_derived_mesenchymal_stem_in_vitro_differentiated_cells
ENCSR010PKP	ENCFF351DQS	adrenal_gland_tissue_male_fetal_97_days
ENCSR480GEI	ENCFF586DCJ	amnion_tissue_male_fetal_16_weeks
ENCSR107PPJ	ENCFF671DYY	angular_gyrus_tissue_female_adult_75_years
ENCSR877RKO	ENCFF087IRL	aorta_tissue_male_adult_34_years
ENCSR000DSY	ENCFF001FFE	astrocyte_of_the_cerebellum_primary_cell
ENCSR000DSW	ENCFF001FFS	astrocyte_of_the_spinal_cord_primary_cell
ENCSR119ZKR	ENCFF773MEH	astrocyte_primary_cell
ENCSR163VWG	ENCFF047LEN	B_primary_cell_female
ENCSR000DQP	ENCFF001ETI	B_primary_cell_female_adult_43_years
ENCSR241CUA	ENCFF353QSH	B_primary_cell_male_adult_37_years
ENCSR000DQB	ENCFF001EQH	BE2C_immortalized_cell_line
ENCSR849YFO	ENCFF258WCY	bipolar_spindle_neuron_derived_from_induced_pluripotent_stem_cell
ENCSR000DQH	ENCFF001ERP	BJ_foreskin_fibroblast
ENCSR876DCP	ENCFF527JEF	body_of_pancreas_male_adult_37_years
ENCSR554RQQ	ENCFF081XYR	body_of_pancreas_male_adult_54_years
ENCSR000DTC	ENCFF001FGE	brain_microvascular_endothelial_primary_cell
ENCSR189GMC	ENCFF708VIP	brain_tissue_female_fetal_17_weeks
ENCSR926DHA	ENCFF265ILW	brain_tissue_male_fetal_122_days
ENCSR416AUW	ENCFF216DKX	breast_epithelium_female_adult_53_years
ENCSR000DXJ	ENCFF001GDE	bronchial_epithelial_primary_cell
ENCSR000DQM	ENCFF001ESW	Caco-2_immortalized_cell_line
ENCSR000DSO	ENCFF103CRJ	cardiac_mesoderm
ENCSR652QNW	ENCFF183RRC	cardiac_muscle_cell
ENCSR000DTE	ENCFF001FGS	cardiac_fibroblast_primary_cell
ENCSR000DTK	ENCFF001FHN	cardiac_muscle_primary_cell
ENCSR200EJX	ENCFF594LYN	caudate_nucleus_tissue_male_adult_81_year
ENCSR903UWK	ENCFF483COQ	CD14-positive_monocyte_primary_cell_female
ENCSR699SYK	ENCFF206DXH	CD14-positive_monocyte_primary_cell_male_adult_37_years
ENCSR479XLD	ENCFF365QXG	CD4-positive_CD4+_CD25+_CD127-
ENCSR199UQX	ENCFF986KCO	CD4-positive_CD4+_CD25+_CD45RO+
ENCSR431JKJ	ENCFF195JRG	CD4-positive_CD4+_CD25int_CD127+
ENCSR948ZKZ	ENCFF370CDG	CD4-positive_helper_T_primary_cell_CD4+_CD25-
ENCSR597AEB	ENCFF371OXX	CD4-positive_helper_T_primary_cell_CD4+_CD25-_CD45RA+
ENCSR832UFG	ENCFF753CTY	CD4-positive_helper_T_primary_cell_CD4+_CD25-_IL17-
