Experiment	BigWig	Tissue
ENCSR998KYQ	ENCFF617WHP	C57BL-6_adipocyte
ENCSR005WPU	ENCFF539AJY	C57BL-6_heart_postnatal_0_days
ENCSR774TQO	ENCFF121MHO	C57BL-6_embryo_embryo_11_day
ENCSR367FCW	ENCFF504BWS	C57BL-6_midbrain_embryo_14.5_days
ENCSR969OPE	ENCFF113OKU	C57BL-6_stomach_postnatal_0_days
ENCSR337EDG	ENCFF522BUI	C57BL-6_forebrain_embryo_14.5_days
ENCSR179PIH	ENCFF996XOJ	C57BL-6_hindbrain_embryo_14.5_days
ENCSR898KAX	ENCFF201ZKU	C57BL-6_MN1_treated_with_methyltrienolone
ENCSR000COJ	ENCFF069NLT	129_ZHBTc4-mESC_treated_with_doxycycline_hyclate
ENCSR000CNH	ENCFF831WNN	C57BL-6_large_intestine_male_adult_8_weeks
ENCSR446MUM	ENCFF976TUI	DBA-2_MEL_cell_line
ENCSR216UMD	ENCFF805GTK	C57BL-6_liver_postnatal_0_days
ENCSR723IXU	ENCFF037FGW	C57BL-6_embryo_embryo_10_days
ENCSR172RHR	ENCFF962EHQ	C57BL-6_embryo_embryo_10.5_days
ENCSR488VEQ	ENCFF807WFQ	C57BL-6_retina_embryo_14.5_days
ENCSR791AJY	ENCFF094GPH	C57BL-6_forebrain_postnatal_0_days
ENCSR094XAY	ENCFF183CQI	C57BL-6_lung_postnatal_0_days
ENCSR687EAW	ENCFF597LWW	C57BL-6_3T3-L1
ENCSR767AJS	ENCFF725EAC	C57BL-6_midbrain_postnatal_0_days
ENCSR636NXY	ENCFF368DRT	C57BL-6_limb_embryo_14.5_days
ENCSR312QVY	ENCFF046RWH	C57BL-6_neural_tube_embryo_11.5_days
ENCSR742DUR	ENCFF879PTQ	C57BL-6_lung_embryo_14.5_days
ENCSR959HKR	ENCFF946JRF	C57BL-6_embryonic_facial_prominence_embryo_14.5_days
ENCSR855ASN	ENCFF657AJF	C57BL-6_acute_myeloid_leukemia
ENCSR000CNP	ENCFF285TSR	DBA-2_MEL-GATA-1-ER
ENCSR000CNJ	ENCFF276AQS	C57BL-6_liver_male_embryo_14.5_days
ENCSR000CMS	ENCFF402MSO	CD-1_c-Kit-positive_CD71-negative_TER-119-negative_erythroid_progenitor_cells_male_embryo_14.5_days
ENCSR000CNW	ENCFF311JHZ	C57BL-6_retina_male_adult_8_weeks
ENCSR000CNT	ENCFF470ZGX	M.spretus_x_C57BL-6J_Patski
ENCSR000CMW	ENCFF863YPM	129_ES-E14
ENCSR292QBA	ENCFF401CHN	C57BL-6_midbrain_embryo_11.5_days
ENCSR469VGZ	ENCFF299CTE	C57BL-6_hindbrain_postnatal_0_days
ENCSR196VDE	ENCFF826JNZ	C57BL-6_embryonic_facial_prominence_embryo_11.5_days
ENCSR358ESL	ENCFF786AEI	C57BL-6_hindbrain_embryo_11.5_days
ENCSR666HFH	ENCFF848WWK	C57BL-6_Muller_cell_postnatal_12_days
ENCSR000CNQ	ENCFF386VCV	DBA-2_erythroblast_derived_from_MEL-GATA-1-ER_treated_with_estradiol
ENCSR000CMT	ENCFF045SNF	CD-1_c-Kit-positive_CD71-positive_TER-119-negative_erythroid_progenitor_cells_male_embryo_14.5_days
ENCSR000CMY	ENCFF687OIK	mixed_WW6
ENCSR000CNC	ENCFF975KIZ	C57BL-6_gonadal_fat_pad_male_adult_8_weeks
ENCSR732IZK	ENCFF590ZTG	C57BL-6_MN1
ENCSR935RRY	ENCFF483LRK	C57BL-6_thymus_postnatal_0_days
ENCSR372SMH	ENCFF455JRQ	DBA-2_MEL_cell_line_treated_with_zinc_dichloride
ENCSR661HDP	ENCFF119SYM	C57BL-6_limb_embryo_11.5_days
ENCSR000CNX	ENCFF506WFH	C57BL-6_skeletal_muscle_tissue_male_adult_8_weeks
ENCSR000CMP	ENCFF210JUD	C57BL-6_telencephalon_male_adult_8_weeks
ENCSR000COG	ENCFF497XOO	C57BL-6_brain_male_embryo_18.5_days
ENCSR000CMX	ENCFF954XMQ	mixed_WW6
ENCSR000CNR	ENCFF871GSA	DBA-2_erythroblast_derived_from_MEL-GATA-1-ER_treated_with_estradiol
ENCSR000CMU	ENCFF432LOL	CD-1_c-Kit-positive_CD71-positive_TER-119-positive_erythroid_progenitor_cells_male_embryo_14.5_days
ENCSR000CNA	ENCFF801LTR	C57BL-6_fibroblast_male_adult_8_weeks
ENCSR000CNY	ENCFF957GIS	C57BL-6_spleen_male_adult_8_weeks
ENCSR000CMQ	ENCFF418UNC	B10.H-2aH-4bp-Wts_CH12.LX
ENCSR000CNK	ENCFF008YOP	129_liver_male_embryo_14.5_days
ENCSR000CND	ENCFF277PIC	CD-1_embryoid_body_male_embryo_11.5_days
ENCSR000CMR	ENCFF885PCY	CD-1_c-Kit-negative_CD71-positive_TER-119-positive_erythroid_progenitor_cells_male_embryo_14.5_days
ENCSR000CMZ	ENCFF791XHO	C57BL-6_fat_pad_male_adult_8_weeks
ENCSR000CNO	ENCFF322SRF	CD-1_mesoderm_male_embryo_11.5_days
ENCSR000CNL	ENCFF446CGK	129_liver_male_embryo_14.5_days
ENCSR000CNF	ENCFF622XCT	CD-1_hindlimb_bud_male_embryo_11.5_days
ENCSR000CNB	ENCFF636YCK	CD-1_forelimb_bud_male_embryo_11.5_days
ENCSR000CNU	ENCFF730VBE	C57BL-6_retina_male_postnatal_7_days
ENCSR000CMO	ENCFF495IKU	C57BL-6_cerebellum_male_adult_8_weeks
