Experiment	BigWig	Tissue
ENCSR000CGQ	ENCFF163HEV	129_ES-E14
ENCSR000CGJ	ENCFF867PYD	B10.H-2aH-4bp-Wts_CH12.LX
ENCSR000CFD	ENCFF668SMR	C57BL-6_bone_marrow_macrophage_male_adult_8_weeks
ENCSR000CCL	ENCFF692OFZ	C57BL-6_bone_marrow_male_adult_8_weeks
ENCSR000CCY	ENCFF019MWJ	C57BL-6_brain_embryo_14.5_days
ENCSR000CEZ	ENCFF012PBY	C57BL-6_brown_adipose_tissue_male_adult_24_weeks
ENCSR000CDC	ENCFF234IJR	C57BL-6_cerebellum_male_adult_8_weeks
ENCSR000CDD	ENCFF619CVT	C57BL-6_cortical_plate_male_adult_8_weeks
ENCSR151APL	ENCFF440LYR	C57BL-6_embryonic_facial_prominence_embryo_10.5_days
ENCSR401GRX	ENCFF089IXS	C57BL-6_embryonic_facial_prominence_embryo_11.5_days
ENCSR813SCQ	ENCFF596BHZ	C57BL-6_embryonic_facial_prominence_embryo_12.5_days
ENCSR420MUV	ENCFF306YHS	C57BL-6_embryonic_facial_prominence_embryo_13.5_days
ENCSR481SGM	ENCFF071HGW	C57BL-6_embryonic_facial_prominence_embryo_14.5_days
ENCSR382DRK	ENCFF033PTH	C57BL-6_embryonic_facial_prominence_embryo_15.5_days
ENCSR000CDI	ENCFF387JGJ	C57BL-6_embryonic_fibroblast_male_embryo_13.5_weeks
ENCSR000CDE	ENCFF124CBV	C57BL-6_ES-Bruce4
ENCSR825ZJV	ENCFF266KHC	C57BL-6_forebrain_embryo_10.5_days
ENCSR275KPI	ENCFF827WXG	C57BL-6_forebrain_embryo_11.5_days
ENCSR966AIB	ENCFF541IJI	C57BL-6_forebrain_embryo_12.5_days
ENCSR311YPF	ENCFF107UHG	C57BL-6_forebrain_embryo_13.5_days
ENCSR320EEW	ENCFF527FOD	C57BL-6_forebrain_embryo_14.5_days
ENCSR691NQH	ENCFF440SCC	C57BL-6_forebrain_embryo_15.5_days
ENCSR428OEK	ENCFF826KEG	C57BL-6_forebrain_embryo_16.5_days
ENCSR094TTT	ENCFF835DLZ	C57BL-6_forebrain_postnatal_0_days
