('Adipose Nuclei', 'fat')
('Aorta', 'vascular')
('Bone Marrow Derived Cultured Mesenchymal Stem Cells', 'stromal connective')
('Brain Angular Gyrus', 'brain')
('Brain Anterior Caudate', 'brain')
('Brain Cingulate Gyrus', 'brain')
('Brain Hippocampus Middle', 'brain')
('Brain Inferior Temporal Lobe', 'brain')
('Brain Substantia Nigra', 'brain')
('Brain_Dorsolateral_Prefrontal_Cortex', 'brain')
('Breast variant Human Mammary Epithelial Cells (vHMEC)', 'breast')
('Colon Smooth Muscle', 'colon')
('Colonic Mucosa', 'colon')
('Duodenum Smooth Muscle', 'duodenum')
('Esophagus', 'esophagus')
('Fetal Adrenal Gland', 'adrenal')
('Fetal Brain Female', 'brain')
('Fetal Brain Male', 'brain')
('Fetal Heart', 'heart')
('Fetal Intestine Large', 'intestine')
('Fetal Intestine Small', 'intestine')
('Fetal Kidney', 'kidney')
('Fetal Lung', 'lung')
('Fetal Muscle Leg', 'muscle leg')
('Fetal Muscle Trunk', 'muscle')
('Fetal Stomach', 'stomach')
('Fetal Thymus', 'thymus')
('Foreskin Fibroblast Primary Cells skin01', 'skin')
('Foreskin Fibroblast Primary Cells skin02', 'skin')
('Foreskin Keratinocyte Primary Cells skin02', 'skin')
('Foreskin Keratinocyte Primary Cells skin03', 'skin')
('Foreskin Melanocyte Primary Cells skin01', 'skin')
('Foreskin Melanocyte Primary Cells skin03', 'skin')
('Gastric', 'stomach')
('H1 BMP4 Derived Mesendoderm Cultured Cells', 'ESC derived')
('H1 BMP4 Derived Trophoblast Cultured Cells', 'ESC derived')
('H1 Cells', 'ESC')
('H1 Derived Mesenchymal Stem Cells', 'ESC derived')
('H1 Derived Neuronal Progenitor Cultured Cells', 'ESC derived')
('H9 Cells', 'ESC')
('HUES48 Cells', 'ESC')
('HUES6 Cells', 'ESC')
('HUES64 Cells', 'ESC')
('IMR90 fetal lung fibroblasts Cell Line', 'lung')
('Left Ventricle', 'heart')
('Liver', 'liver')
('Lung', 'lung')
